dataset_id	source_filename	Column_or_Row_Name	Unit	Definition	Column_or_Row_Long_Name	Data_Type	Term_Type	Missing_value_code
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	comid	N/A	Common Identifier Code (comid) for each catchment and reach segment		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	ComID	N/A	Common Identifier Code (ComID) for each catchment and reach segment		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	COMID	N/A	Common Identifier Code (COMID) for each catchment and reach segment		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	comid_nhd	N/A	Common Identifier Code (COMID) for each catchment and reach segment		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	Day	days	Last day of simulation per each year		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	Definition	N/A	Description of the information in a given column or row in the dataset.		text	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	DO	milligrams per liter	Stream dissolved oxygen (DO) concentration		numeric	row_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	DOC	milligrams per liter	Stream dissolved organic carbon (DOC) concentration		numeric	row_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	doc_level	N/A	Level of stream dissolved organic carbon (DOC) concentration (base; 25 percent; 50 percent; or 100 percent)		text	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	File_Path	N/A	File path within the data package.		text	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	HZ_Flux	meter per second	Hyporheic zone (HZ) exchange flux		numeric	row_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	HZ_RT	seconds	Hyporheic zone (HZ) residence time		numeric	row_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	landuse	N/A	Land use category (forest; urban; agriculture; shrub)		text	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	lat_co2_prod_mol	moles	Carbon dioxide (CO2) production amount via lateral exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	lat_no2_prod_mol	moles	Removed nitrite amount via lateral exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	lat_no3_prod_mol	moles	Removed nitrate amount via lateral exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	lat_o2_cons_mol	moles	Consumed oxygen (O2) amount via lateral exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	length_m	meters	Stream length		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	logq_hz_lateral_m_div_s	meter per second	Lateral Hyporheic zone (HZ) exchange		numeric	column_header	
