atmosphere	19
atmospheric pressure	5
atmospheric pressure measurements	5
barometric pressure	3
discharge	4
discharge rate	1
dissolved oxygen	10
earth science	91
ecosystem respiration	2
gas exchange	1
gases	10
gross primary production	4
ground water	15
ground water processes/measurements	3
light	1
net ecosystem production	2
terrestrial hydrosphere	37
water characteristics	13
water quality/water chemistry	20
water temperature	10
discharge/flow	2
ecosystem respiration rate	1
flow velocity	1
gas exchange (k600)	1
respiration rates	1
sediment respiration rate	1
slope	2
surface water	14
surface water processes/measurements	4
water column respiration rate	1
water depth	3
watershed characteristics	3
watershed slope	3
aerobic respiration with spring substrate inputs (log10, gc/m2/day)	1
aerobic respiration with summer substrate inputs (log10, gc/m2/day)	1
aerobic respiration(log10, gc/m2/day)	1
anaerobic respiration with spring substrate inputs (log10, gc/m2/day)	1
anaerobic respiration with summer substrate inputs (log10, gc/m2/day)	1
anaerobic respiration(log10, gc/m2/day)	1
hyporheic exchange flux (log10, m/s)	1
residence time (log10, second)	1
stream dissolved organic carbon (mg/l)	1
stream dissolved oxygen (mg/l)	1
stream nitrate (mg/l)	1
total respiration (log10,gc/m2/day)	1
total respiration with spring substrate inputs (log10, gc/m2/day)	1
dissolved oxygen concentration	1
dissolved oxygen percent saturation	1
gas flow rate	1
r value	1
raw light intensity	1
altitude	1
area	1
area ratio	1
d10 area	1
d10 count	1
d5 area	1
d5 count	1
d50 area	1
d50 count	1
d84 area	1
d84 count	1
date	1
depth	1
drainage area	1
friction factor	1
grain number	1
grain size	1
height	1
interstitial velocity magnitude	1
latitude	3
longitude	3
mass transfer	1
nitrate uptake velocity	1
permeability	1
pixel	1
relative error	1
resolution	1
scale	1
shear velocity	1
stream order	3
velocity	2
watershed drainage	1
active layer	5
frozen ground	14
ground ice	1
land surface	33
permafrost	5
soil depth	6
soil horizons/profile	1
soil moisture/water content	14
soils	29
conductivity	4
isotopes	6
radioisotopes	3
atmospheric chemistry	1
atmospheric temperature	11
atmospheric temperature indices	1
carbon and hydrocarbon compounds	1
carbon dioxide	1
methane	1
atmospheric water vapor	10
basin area	1
elevation	2
evapotranspiration	5
image suitability	1
land use/land cover	2
land use/land cover classification	2
median grain size (d50)	1
precipitation	9
precipitation as snow	1
snow	1
solid precipitation	1
stream length	1
stream slope	1
terrain elevation	4
topography	4
urban land cover	1
water vapor processes	5
watershed length	1
dissolved organic matter	2
dom	1
fourier-transform ion cyclotron resonance mass spectrometry	2
fticr-ms	2
high-resolution mass spectrometry	1
organic matter	4
sediment elemental composition	1
soil elemental composition	1
water extractable dom	1
x-ray fluorescence	1
xrf	1
aerobic respiration rate	1
biomass	2
dissolved organic carbon	7
microbial growth rate	1
burn extent	1
climate	1
doc	1
nitrate	2
no3	1
time-since-fire	1
biosphere	23
canopy characteristics	3
cryosphere	10
digital elevation/terrain model (dem)	1
snow depth	5
snow/ice	11
vegetation	15
anions	4
groundwater chemistry	9
surface water chemistry	6
dissolved ammonia	1
total dissolved nitrogen	1
patriculate/dissolved inorganic carbon	2
patriculate/dissolved organic carbon	2
cations	4
snow/ice temperature	6
soil temperature	13
c	1
carbon	14
fourier-transform ion cyclotron resonance	1
fti	1
fticr	1
h	1
hydrogen	1
n	1
nitrogen	11
nitrogen compounds	1
nutrients	2
o	1
oxygen	1
p	1
phosphorous	2
s	1
sulfur	2
residence time	1
river water stage	1
temperature	1
air temperature	10
aod	1
backscatter profiles	1
biomass burning plumes	1
plumes	1
sky images	1
spectrally resolved aerosol optical depth	1
spectrally resolved aerosol optical depth daily averages	1
spectrally resolved diffuse irradiance	1
spectrally resolved normal irradiance	1
spectrally resolved total irradiance	1
surface shortwave direct diffuse irradiance	1
surface shortwave direct normal irradiance	1
surface shortwave direct total irradiance	1
geomorphic landforms/processes	1
solid earth	1
freshwater springs	2
ground water features	5
rivers/streams	2
stable isotopes	2
surface water features	2
agriculture	9
electrical conductivity	2
surface temperature	9
water table	3
water table depth	1
dissolved carbon dioxide	1
nitrous oxide	1
ocean chemistry	1
oceans	1
partial pressure of methane in sea water	1
canopy height	2
easting	1
frost table surface	1
ground surface	1
northing	1
water surface	1
lidar	1
spectral/engineering	3
aboveground biomass	1
basal diameter	1
gps	1
presence/absence	1
snow density	2
snow water equivalent	2
archaea gene copy number	1
bacterial gene copy number	1
