ID,Label (description),Category,EcoSIM Other Names,EcoSIM Variable Name,File Name,Definition,Comment,Related Synonyms,Exact Synonyms,Type,DbXrefs,has_units,qualifiers,attributes,measured_ins,measurement_ofs,contexts,value_types,Parents,Group Curated?,Definition Curated?,Definition Source,Comment from Ulas,Comment from Joan,Comment from John-Marc,Comment from Jinyun,Comment from Harry,Comment from Chris
ID,LABEL,SC %,A oio:hasRelatedSynonym SPLIT=|,A oio:hasRelatedSynonym ,A rdfs:comment,A IAO:0000115,A rdfs:comment,A oio:hasRelatedSynonym SPLIT=|,A oio:hasExactSynonym SPLIT=|,TYPE,AI oio:hasDbXref SPLIT=|,A BERVO:has_unit SPLIT=|,AI BERVO:Qualifier SPLIT=|,AI BERVO:Attribute SPLIT=|,AI BERVO:measured_in SPLIT=|,AI BERVO:measurement_of SPLIT=|,AI BERVO:Context SPLIT=|,AI BERVO:has_value_type SPLIT=|,SC % SPLIT=|,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment,A rdfs:comment
BERVO:0000000,variable,,,,,"An observed or calculated property of a system. In BERVO, variables generally correspond to anything subject to change in an experiment or direct observation of an environment or other natural phenomenon.",root class of ontology,,,Class,,,,,,,,,,TRUE,TRUE,"Manual (JHC, Sep 25 2025)",,,,,,
BERVO:0000001,Ecosystem net radiation,Biogeochemical flux type,,Eco_NetRad_col,EcosimBGCFluxType.txt,"EcoSIM output: The balance between incoming solar shortwave radiation and atmospheric longwave radiation versus reflected shortwave radiation and outgoing longwave radiation from terrestrial surfaces and vegetation. This quantity is fundamental for calculating the energy budget of ecosystems and drives evapotranspiration, photosynthesis, and soil temperature dynamics in Earth system models.",,,,Class,,MJ d-2 h-1,Net,Radiation,Atmosphere|Plant,Energy,Ecosystem,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000002,Ecosystem latent heat flux,Biogeochemical flux type,,Eco_Heat_Latent_col,EcosimBGCFluxType.txt,EcoSIM output: The energy transfer associated with water vapor movement from terrestrial surfaces to the atmosphere through evapotranspiration processes. This flux represents a major component of the surface energy balance and is critical for understanding water cycle dynamics and climate feedbacks in Earth system models.,,,,Class,,MJ d-2 h-1,,Heat flux,Atmosphere,Heat,Ecosystem,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000003,Ecosystem sensible heat flux,Biogeochemical flux type,,Eco_Heat_Sens_col,EcosimBGCFluxType.txt,EcoSIM output: The direct transfer of thermal energy between the atmosphere and land surface entities including ground surface and vegetation through conduction and convection. This flux component controls air temperature dynamics and atmospheric boundary layer development in environmental modeling studies.,,,,Class,,MJ d-2 h-1,,Heat flux,Atmosphere|Soil,Heat,Ecosystem,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000004,Ecosystem storage heat flux,Biogeochemical flux type,,Eco_Heat_GrndSurf_col,EcosimBGCFluxType.txt,"EcoSIM output: The residual energy flux absorbed by the ground calculated by subtracting latent and sensible heat fluxes from net radiation. This flux drives soil temperature changes and affects subsurface thermal dynamics, root zone processes, and permafrost behavior in Earth system models.",,,,Class,,MJ d-2 h-1,,Heat flux,Soil,Heat,Ecosystem|Soil,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000005,Cumulative ecosystem gross primary productivity,Biogeochemical flux type,,Eco_GPP_CumYr_col,EcosimBGCFluxType.txt,EcoSIM output: The total amount of carbon dioxide fixed by photosynthesis from the beginning of the year to the current day. This cumulative measure represents the total carbon uptake capacity of vegetation and is essential for quantifying ecosystem carbon sequestration and productivity in global carbon cycle studies.,,,,Class,,g d-2,Total,Fixation,Plant,Carbon dioxide,Ecosystem,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000006,Cumulative ecosystem autotrophic respiration,Biogeochemical flux type,,Eco_AutoR_CumYr_col,EcosimBGCFluxType.txt,EcoSIM output: The total carbon dioxide released by plant metabolic processes including maintenance and growth respiration from the beginning of the year to the current day. This cumulative flux represents the carbon cost of plant metabolism and is crucial for calculating net primary productivity in ecosystem carbon budget assessments.,,,,Class,,gC d-2,Total,Respiration,Plant,Carbon,Ecosystem,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000007,Cumulative ecosystem net primary productivity,Biogeochemical flux type,,Eco_NPP_CumYr_col,EcosimBGCFluxType.txt,"EcoSIM output: The total net carbon accumulation in plant biomass calculated as the difference between gross primary productivity and autotrophic respiration from the beginning of the year to the current day. This measure quantifies the carbon available for plant growth, reproduction, and ecosystem food webs in terrestrial carbon cycle modeling.",,,,Class,,gC d-2,Total|Net,Primary productivity,Plant,Carbon,Ecosystem,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000008,Cumulative ecosystem heterotrophic respiration,Biogeochemical flux type,,Eco_HR_CumYr_col,EcosimBGCFluxType.txt,EcoSIM output: The total carbon dioxide and methane released through microbial and abiotic decomposition of soil organic matter from the beginning of the year to the current day. This cumulative flux represents soil carbon losses and is fundamental for understanding soil carbon dynamics and greenhouse gas emissions in Earth system models.,,,,Class,,gC d-2,Total,Respiration,Soil|Microbes,Carbon,Ecosystem,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000009,Heterotrophic respiration as carbon dioxide,Biogeochemical flux type,,ECO_HR_CO2_col,EcosimBGCFluxType.txt,EcoSIM output: The instantaneous rate of carbon dioxide release from soil through microbial decomposition of organic matter. This flux represents aerobic decomposition processes and is a key component of soil carbon cycling and atmospheric carbon dioxide emissions in biogeochemical models.,,,,Class,,gC d-2 hr-1,,Respiration,Soil|Microbes,Carbon dioxide,Soil,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000010,Vertically resolved heterotrophic respiration as carbon dioxide,Biogeochemical flux type,,ECO_HR_CO2_vr,EcosimBGCFluxType.txt,EcoSIM output: The instantaneous rate of carbon dioxide release from microbial decomposition of organic matter resolved by soil depth layers. This depth-resolved measurement allows for detailed analysis of soil carbon dynamics at different depths and improved representation of soil processes in Earth system models.,,,,Class,,gC/d2/hr,,Respiration,Soil|Microbes,Carbon dioxide,Soil,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000011,Heterotrophic respiration as methane,Biogeochemical flux type,,ECO_HR_CH4_vr,EcosimBGCFluxType.txt,EcoSIM output: The instantaneous rate of methane release from anaerobic microbial decomposition of organic matter resolved by soil depth layers. This flux represents anaerobic decomposition processes in waterlogged or oxygen-limited soils and is critical for quantifying methane emissions from wetlands and other anaerobic environments.,,,,Class,,gC d-2,,Respiration,Soil|Microbes,Methane,Soil,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000013,Ecosystem harvest,Biogeochemical flux type,,EcoHavstElmnt_CumYr_col,EcosimBGCFluxType.txt,"EcoSIM output: The removal of biological products including timber, fodder, firewood, biofuels, and non-timber forest products from terrestrial ecosystems through human activities. This anthropogenic flux significantly impacts vegetation structure, biodiversity, and biogeochemical cycles and represents an important ecosystem service in Earth system modeling.",,,,Class,,gC d-2,,Harvest,Plant,Biomass,Ecosystem,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000014,Total ammonium net mineraln (-ve) or immobiln (+ve),Biogeochemical flux type,,NetNH4Mineralize_CumYr_col,EcosimBGCFluxType.txt,"EcoSIM output: The net balance between ammonium (NH4+) release from organic matter decomposition and ammonium uptake for microbial biomass synthesis, cumulated from the beginning of the year. This flux represents the net availability of nitrogen for plant uptake and is fundamental for understanding nitrogen cycling and limitation in terrestrial ecosystems.",,,,Class,,gN d-2,Total,Mineralization,Soil|Microbes,Ammonium,Soil,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000015,Total phosphate net mineraln (-ve) or immobiln (+ve),Biogeochemical flux type,,NetPO4Mineralize_CumYr_col,EcosimBGCFluxType.txt,"EcoSIM output: The net balance between phosphate (PO43-) release from organic matter decomposition and phosphate uptake for microbial biomass synthesis, cumulated from the beginning of the year. This flux determines phosphorus availability for plant growth and is essential for modeling phosphorus cycling and nutrient limitation in ecosystems.",,,,Class,,gP d-2,Total,Mineralization,Soil|Microbes,Phosphate,Soil,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000016,Total net carbon dioxide fixation,Biogeochemical flux type,,Canopy_NEE_col,EcosimBGCFluxType.txt,EcoSIM output: The net carbon exchange within plant canopies calculated as the difference between carbon dioxide fixation by photosynthesis and carbon dioxide release from autotrophic respiration and disturbances. This flux quantifies the net carbon uptake or release by vegetation and is crucial for assessing ecosystem carbon balance and climate change impacts.,,,,Class,,gC d-2 h-1,Total|Net,Fixation,Plant,Carbon dioxide,Plant,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000017,Total litterfall chemical elements,Biogeochemical flux type,,LitrFallStrutElms_col,EcosimBGCFluxType.txt,"EcoSIM output: The flux of chemical elements including carbon, nitrogen, and phosphorus transferred from living plant tissues to the soil surface through leaf, branch, and reproductive structure senescence. This process represents a major pathway for nutrient cycling and organic matter input to soils in terrestrial ecosystem models.",Use with BERVO:involves_chemicals,,,Class,,g d-2 h-1,Total,Litterfall,Plant,Leaf,Soil,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000018,Ecosystem respiration,Biogeochemical flux type,,ECO_ER_col,EcosimBGCFluxType.txt,"EcoSIM output: The total release of carbon dioxide and methane from terrestrial ecosystems through combined belowground and aboveground microbial metabolism and plant autotrophic respiration. This comprehensive flux includes soil surface carbon dioxide release through diffusion, ebullition, plant-mediated transport, and wet deposition, representing the total respiratory carbon loss from ecosystems.",,,,Class,,gC d-2 h-1,,Respiration,Plant|Microbes,Carbon dioxide,Ecosystem,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000019,Cumulative net biome production,Biogeochemical flux type,,Eco_NBP_CumYr_col,EcosimBGCFluxType.txt,EcoSIM output: The accumulated net carbon balance of an entire ecosystem calculated as the difference between carbon dioxide fixation through photosynthesis and carbon losses through plant and microbial respiration plus any disturbances. This comprehensive measure represents the long-term carbon storage capacity of ecosystems and is critical for assessing ecosystem carbon sequestration potential and responses to environmental changes in Earth system models.,,,,Class,,gC d-2,Net,Production,Plant,Carbon,Ecosystem,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000020,"Current inorganic phosphate demand in non-band by all microbial,root,myco populations",Biogeochemical flux type,,REcoH1PO4DmndSoil_vr,EcosimBGCFluxType.txt,"EcoSIM output: The instantaneous inorganic phosphate (HPO4) demand by plant roots, mycorrhizae, and microbial populations from non-fertilizer-banded soil zones, resolved by soil depth. This variable quantifies phosphorus uptake requirements from naturally distributed soil phosphorus pools and is essential for modeling phosphorus limitation and competition among different biological components in terrestrial ecosystems.",,,,Class,,gP d-2 h-1,Current,Uptake,Root|Microbes,Phosphate,Soil,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000021,"Previous time step inorganic phosphate demand in non-band by all microbial,root,myco populations",Biogeochemical flux type,,RH1PO4EcoDmndSoilPrev_vr,EcosimBGCFluxType.txt,"EcoSIM output: The inorganic phosphate (HPO4) demand by plant roots, mycorrhizae, and microbial populations from the previous computational time step in non-fertilizer-banded soil zones, resolved by soil depth. This variable enables temporal tracking of phosphorus demand dynamics and is used to calculate changes in nutrient uptake patterns and ecosystem phosphorus cycling rates.",,,,Class,,gP d-2 h-1,Previous,Uptake,Root|Microbes,Phosphate,Soil,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000022,"Current inorganic phosphate demand in band by all microbial,root,myco populations",Biogeochemical flux type,,REcoH1PO4DmndBand_vr,EcosimBGCFluxType.txt,EcoSIM output: This refers to the vertically resolved inorganic P demand to support plant roots and microbial uptake from soil bands. Soil bands are defined according to fertilizer application in the form of sidedressing,,,,Class,,gP d-2 h-1,Current,Uptake,Root|Microbes,Phosphorus,Fertilizer,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000023,"Previous time step inorganic phosphate demand in band by all microbial,root,myco populations",Biogeochemical flux type,,RH1PO4EcoDmndBandPrev_vr,EcosimBGCFluxType.txt,EcoSIM output: This refers to the previous time step vertically resolved inorganic P demand to support plant roots and microbial uptake from soil bands. Soil bands are defined according to fertilizer application in the form of sidedressing,,,,Class,,gP d-2 h-1,Previous,Uptake,Root|Microbes,Phosphorus,Fertilizer,Quantitative value,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000024,Rate constants for decline in urea hydrolysis inhibition,Constants for specific chemical reactions,,RUreaInhibtorConst,SoluteParMod.txt,EcoSIM input parameter: The kinetic parameter describing the rate at which urease inhibitors lose their capacity to suppress urea hydrolysis reactions in soil. This constant is crucial for modeling the temporal dynamics of nitrogen release from urea fertilizers and understanding how inhibitor effectiveness changes over time in agricultural and environmental systems.,,,,Class,,h^-1,,Rate constant,Fertilizer,Urea,Soil,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
