ID,LABEL
BERVO:0000000,variable
BERVO:0000001,Ecosystem net radiation
BERVO:0000002,Ecosystem latent heat flux
BERVO:0000003,Ecosystem sensible heat flux
BERVO:0000004,Ecosystem storage heat flux
BERVO:0000005,Cumulative ecosystem gross primary productivity
BERVO:0000006,Cumulative ecosystem autotrophic respiration
BERVO:0000007,Cumulative ecosystem net primary productivity
BERVO:0000008,Cumulative ecosystem heterotrophic respiration
BERVO:0000009,Heterotrophic respiration as carbon dioxide
BERVO:0000010,Vertically resolved heterotrophic respiration as carbon dioxide
BERVO:0000011,Heterotrophic respiration as methane
BERVO:0000013,Ecosystem harvest
BERVO:0000014,Total ammonium net mineraln (-ve) or immobiln (+ve)
BERVO:0000015,Total phosphate net mineraln (-ve) or immobiln (+ve)
BERVO:0000016,Total net carbon dioxide fixation
BERVO:0000017,Total litterfall chemical elements
BERVO:0000018,Ecosystem respiration
BERVO:0000019,Cumulative net biome production
BERVO:0000020,"Current inorganic phosphate demand in non-band by all microbial,root,myco populations"
BERVO:0000021,"Previous time step inorganic phosphate demand in non-band by all microbial,root,myco populations"
BERVO:0000022,"Current inorganic phosphate demand in band by all microbial,root,myco populations"
BERVO:0000023,"Previous time step inorganic phosphate demand in band by all microbial,root,myco populations"
BERVO:0000024,Rate constants for decline in urea hydrolysis inhibition
BERVO:0000025,Equilibrium constant for H2O=H(+)+OH(-)
BERVO:0000026,Equilibrium constant for AlOH3(s)=Al(3+)+3OH(-)
BERVO:0000027,Equilibrium constant for FeOH3(s)=Fe(3+)+3OH(-)
BERVO:0000028,Equilibrium constant for CaCO3(s)=Ca(2+)+CO3(2-)
BERVO:0000029,Equilibrium constant for CaSO4(s)=Ca(2+)+SO4(2-)
BERVO:0000030,Equilibrium constant for AlPO4(s)=Al(3+)+PO4(3-)
BERVO:0000031,Equilibrium constant for FePO4(s)=Fe(3+)+PO4(3-)
BERVO:0000032,Equilibrium constant for Ca(H2PO4)2(s)=Ca(2+)+2H2PO4(-)
BERVO:0000033,Equilibrium constant for CaHPO4(s)=Ca(2+)+HPO4(2-)
BERVO:0000034,"Equilibrium constant for hydroxyapatite,Ca5(PO4)3OH(s)=5Ca(2+)+3PO4(3-)+OH(-)"
BERVO:0000035,Equilibrium constant for X-OH2(+)=X-OH+H(+)
BERVO:0000036,Equilibrium constant for X-OH1=X-O(-)+H(+)
BERVO:0000037,Equilibrium constant for X-H2PO4+H2O=X-OH2(+)+H2PO4(-)
BERVO:0000038,Equilibrium constant for X-H1PO4(-)=X-OH+HPO4(2-)
BERVO:0000039,Equilibrium constant for CO2 + H2O = HCO3(-) + H(+)
BERVO:0000040,Equilibrium constant for HCO3(-) = CO3(2-) + H(+)
BERVO:0000041,Equilibrium constant for NH4(+) = NH3 + H(+)
BERVO:0000042,Equilibrium constant for AlOH(2+)=Al(3+)+OH(-)
BERVO:0000043,Equilibrium constant for Al(OH)2(+)=AlOH(2+)+OH(-)
BERVO:0000044,Equilibrium constant for Al(OH)3(aq)=Al(OH)2(+)+OH(-)
BERVO:0000045,Equilibrium constant for Al(OH)4(-)=Al(OH)3(aq)+OH(-)
BERVO:0000046,Equilibrium constant for Al(SO4)(+)=Al(3+)+SO4(2-)
BERVO:0000047,Equilibrium constant for Fe(OH)(2+)=Fe(3+)+OH(-)
BERVO:0000048,Equilibrium constant for Fe(OH)2(+)=FeOH(2+)+OH(-)
BERVO:0000049,Equilibrium constant for Fe(OH)3(aq)=Fe(OH)2(+)+OH(-)
BERVO:0000050,Equilibrium constant for Fe(OH)4(-)=Fe(OH)3(aq)+OH(-)
BERVO:0000051,Equilibrium constant for Fe(SO4)(+)=Fe(3+)+SO4(2-)
BERVO:0000052,Equilibrium constant for Ca(OH)(-)=Ca(2+)+OH(-)
